customer_id,age,annual_income,monthly_income,employment_years,loan_amount,loan_term_months,interest_rate,emi,num_existing_loans,credit_utilization,num_late_payments_12m,credit_history_years,default
88,36,366030.16,30502.51,7.7,742990.06,36,12.59,24887.8,2,0.678,1,12,0
89,58,596309.85,49692.49,11.1,421420.32,48,17.49,12267.2,2,0.431,0,34,0
90,61,281686.05,23473.84,16.6,521922.82,12,16.67,47520.14,0,0.066,0,37,1
91,42,620473.83,51706.15,10.1,1388781.61,84,14.91,26728.9,0,0.214,0,20,1
92,60,357387.62,29782.3,3.1,854867.07,36,13.88,29167.53,0,0.243,0,40,1
93,62,358737.24,29894.77,11.3,153338.31,24,20.17,7817.02,1,0.086,1,38,0
94,39,987127.74,82260.64,15.0,671137.4,48,19.39,20205.47,1,0.332,1,17,0
95,65,677618.08,56468.17,2.4,145166.41,12,11.63,12872.75,1,0.192,2,42,0
96,35,686460.95,57205.08,2.7,762812.52,84,22.17,17949.76,0,0.239,0,12,0
97,32,199026.48,16585.54,0.9,177575.83,24,23.53,9347.02,2,0.347,0,9,0
98,54,887435.61,73952.97,5.2,1376743.38,12,16.03,124932.65,0,0.605,1,33,0
99,52,284614.7,23717.89,9.9,216801.73,48,19.99,6596.2,2,0.125,1,31,0
100,27,264674.07,22056.17,15.4,479122.98,84,19.22,10415.62,1,0.499,1,7,0
101,61,100747.82,8395.65,12.5,242549.36,36,9.46,7765.04,2,0.157,1,40,1
102,30,349111.07,29092.59,9.9,151050.93,36,20.76,5672.26,0,0.203,3,10,0
103,60,172529.41,14377.45,8.2,119679.05,60,11.76,2647.7,1,0.604,0,40,0
104,21,363715.38,30309.62,10.0,235281.55,60,10.94,5108.55,1,0.259,1,0,0
105,60,165912.77,13826.06,10.3,406752.95,12,8.25,35429.83,2,0.362,1,36,1
106,59,728577.96,60714.83,14.5,1119298.96,84,12.4,19998.92,1,0.442,1,36,1
107,59,390735.83,32561.32,7.9,358585.55,84,13.64,6648.79,1,0.072,4,39,0
108,53,927210.4,77267.53,9.3,997300.84,48,14.24,27372.94,2,0.218,2,31,0
109,44,177813.05,14817.75,6.0,368102.57,48,16.15,10460.43,2,0.298,0,20,1
110,55,643443.58,53620.3,8.6,1242310.41,84,15.9,24604.15,2,0.466,0,34,0
111,34,120408.31,10034.03,6.7,140023.28,24,14.16,6733.51,4,0.079,1,10,0
112,59,329073.94,27422.83,2.1,281380.72,12,17.83,25774.22,1,0.08,3,38,0
113,48,216249.57,18020.8,12.4,519485.76,12,21.52,48501.02,0,0.239,1,25,1
114,43,237048.9,19754.08,15.4,503387.46,84,8.91,8076.07,0,0.108,1,21,0
115,45,229062.87,19088.57,7.8,49222.04,24,15.78,2404.89,0,0.41,1,23,0
116,48,187707.82,15642.32,9.7,257428.03,84,8.32,4053.49,3,0.37,1,26,0
117,22,157969.28,13164.11,12.3,47109.37,36,15.84,1652.51,0,0.319,1,2,0
118,27,237705.22,19808.77,7.3,347057.15,48,8.83,8608.54,1,0.247,1,7,0
119,33,314272.02,26189.34,8.9,744616.28,12,12.15,66210.52,0,0.503,0,10,1
120,26,530644.28,44220.36,6.9,130486.0,48,12.84,3490.26,1,0.235,1,2,0
121,42,343751.81,28645.98,5.3,310775.18,60,14.48,7308.76,1,0.031,2,21,0
122,53,531399.89,44283.32,10.6,720489.88,60,23.85,20664.35,1,0.271,0,31,0
123,53,141621.26,11801.77,10.6,111706.54,60,19.91,2953.95,1,0.197,0,33,0
124,44,238831.91,19902.66,12.6,114256.35,84,21.65,2651.92,1,0.215,0,20,0
125,62,423158.66,35263.22,8.0,348310.33,24,22.6,18173.07,0,0.251,0,38,0
126,48,352073.55,29339.46,2.0,383774.03,36,12.66,12868.1,0,0.172,0,25,0
127,24,192800.73,16066.73,13.5,176619.18,12,9.14,15457.08,0,0.031,2,2,1
128,58,473086.94,39423.91,4.3,1176168.78,36,11.88,38998.26,0,0.417,0,38,0
129,49,227376.7,18948.06,4.2,548390.11,60,23.13,15500.36,2,0.287,0,25,1
130,52,201051.87,16754.32,5.3,333073.16,24,19.7,16903.25,2,0.142,0,29,1
131,48,378311.75,31525.98,0.0,123115.71,60,17.64,3102.27,1,0.149,0,25,0
132,48,297474.77,24789.56,6.9,113186.56,24,23.59,5961.16,3,0.226,0,28,0
133,25,228329.22,19027.44,11.1,413036.38,60,14.92,9808.77,2,0.176,0,5,0
134,48,224485.35,18707.11,5.8,389937.0,24,20.89,20016.1,1,0.581,1,26,1
135,59,173702.89,14475.24,14.7,106590.28,24,16.37,5237.86,3,0.316,0,36,0
136,35,243318.33,20276.53,14.4,543448.15,60,21.35,14809.3,3,0.369,1,13,1
137,50,514013.45,42834.45,12.4,953654.51,48,21.77,29926.96,2,0.122,0,30,0
138,22,335130.48,27927.54,0.0,222853.96,12,9.8,19571.68,1,0.461,0,2,1
139,38,478923.92,39910.33,15.2,1092765.91,48,14.8,30301.82,0,0.36,1,16,1
140,42,383860.42,31988.37,6.8,727081.41,60,13.7,16805.04,3,0.545,1,22,0
141,69,218354.88,18196.24,16.4,499620.73,48,18.42,14786.24,2,0.211,0,45,1
142,31,130018.15,10834.85,5.0,292443.33,84,14.42,5548.47,1,0.398,2,7,0
143,34,186572.06,15547.67,7.3,38787.94,12,20.2,3596.82,2,0.368,0,14,0
144,41,212008.59,17667.38,8.4,304879.61,24,14.14,14658.32,1,0.399,1,19,1
145,69,203965.99,16997.17,3.3,88364.51,60,13.82,2047.85,1,0.363,2,46,0
146,62,484324.28,40360.36,0.0,475976.33,24,12.22,22454.79,0,0.042,2,42,0
147,22,481804.75,40150.4,0.0,426837.74,24,15.67,20832.06,0,0.283,1,1,0
148,32,896218.77,74684.9,22.8,1235945.56,84,18.02,25991.39,0,0.342,0,8,0
149,61,202427.97,16869.0,0.0,434598.79,24,18.05,21707.46,2,0.472,0,41,1
150,23,659161.7,54930.14,0.0,352097.17,84,15.72,6937.34,1,0.088,1,3,0
151,62,657127.67,54760.64,10.9,836922.11,48,22.04,26386.31,2,0.222,0,39,0
152,34,264043.23,22003.6,0.9,571333.2,60,11.78,12645.57,0,0.449,3,14,1
153,65,375786.97,31315.58,0.0,479199.21,36,13.05,16157.66,2,0.384,0,42,0
154,35,551483.18,45956.93,0.0,451461.4,24,15.71,22042.45,1,0.41,0,15,0
155,42,287948.72,23995.73,9.5,429208.97,48,15.2,11988.77,0,0.501,1,21,0
156,53,277008.68,23084.06,2.6,65854.56,48,17.66,1922.8,2,0.525,0,30,0
157,27,216713.46,18059.45,11.2,269710.08,84,11.37,4670.73,0,0.211,0,3,0
158,48,91124.39,7593.7,7.6,128305.94,84,11.85,2254.67,1,0.135,1,25,0
159,45,307194.33,25599.53,8.4,217396.6,24,18.39,10894.34,3,0.142,0,24,0
160,59,207952.58,17329.38,5.7,161768.0,48,23.22,5204.42,2,0.336,2,38,0
161,69,173221.38,14435.12,6.6,75922.89,12,19.8,7025.81,0,0.668,1,49,0
162,53,366258.93,30521.58,3.5,825871.05,24,19.32,41759.53,1,0.222,1,32,1
163,41,143536.39,11961.37,4.0,44903.68,12,14.91,4051.02,0,0.281,3,18,0
164,40,443760.35,36980.03,2.5,998961.33,12,11.42,88485.68,0,0.443,0,20,1
165,41,377678.91,31473.24,15.6,909432.78,36,18.76,33225.94,2,0.141,0,19,1
166,60,242778.16,20231.51,6.0,369635.97,36,20.53,13837.02,1,0.311,0,37,0
167,36,287317.99,23943.17,0.0,646840.38,12,12.55,57637.55,2,0.664,2,14,1
168,29,163552.52,13629.38,9.3,228569.78,60,9.3,4778.08,1,0.1,0,8,0
169,37,431563.22,35963.6,4.0,120247.0,36,23.38,4678.58,0,0.4,0,17,0
170,22,325683.76,27140.31,7.8,250882.55,12,22.55,23547.66,0,0.027,0,0,0
171,26,338041.85,28170.15,6.7,822684.37,60,22.29,22857.5,1,0.248,0,3,1
172,25,381148.82,31762.4,15.5,789300.64,36,13.86,26922.79,1,0.397,1,2,1
173,58,215085.8,17923.82,6.1,529320.53,12,15.47,47893.05,2,0.171,0,35,1
174,56,138755.8,11562.98,12.1,164345.6,60,11.79,3638.36,2,0.242,0,32,0
175,55,478618.54,39884.88,11.6,345552.42,84,19.12,7491.36,2,0.228,0,34,0
176,43,418469.47,34872.46,1.2,339797.94,60,23.42,9661.24,1,0.302,1,22,0
177,56,226912.69,18909.39,8.9,476546.8,48,10.1,12109.36,3,0.288,0,33,0
178,28,363871.15,30322.6,4.2,241776.17,12,17.79,22141.88,0,0.326,2,6,0
179,65,556257.57,46354.8,2.0,888975.6,60,15.77,21509.67,0,0.188,0,45,0
180,45,524054.2,43671.18,2.0,1189106.73,48,8.42,29264.57,1,0.458,1,22,0
181,66,223623.83,18635.32,12.1,463728.73,12,13.62,41554.0,0,0.405,4,44,1
182,28,140873.76,11739.48,21.2,165156.88,12,21.59,15425.19,1,0.46,2,8,1
183,45,153490.27,12790.86,4.0,168312.9,48,12.27,4454.67,1,0.192,0,24,0
184,55,253758.17,21146.51,9.1,397714.32,60,23.81,11397.61,0,0.411,0,34,0
185,45,616096.3,51341.36,9.6,743218.2,12,20.7,69096.89,1,0.247,2,23,0
186,42,206030.05,17169.17,5.4,171354.22,12,12.19,15239.85,0,0.331,0,19,0
187,29,220099.74,18341.64,15.0,101289.11,24,10.27,4686.61,1,0.24,0,5,0
188,39,217846.17,18153.85,19.0,199673.41,12,11.56,17699.67,0,0.115,0,17,0
189,32,227324.68,18943.72,5.0,119061.25,84,20.78,2700.1,1,0.432,0,8,0
190,35,294898.52,24574.88,16.7,101448.84,36,11.92,3365.68,1,0.407,0,12,0
191,54,156369.16,13030.76,5.3,353438.47,12,12.99,31566.5,1,0.233,1,31,1
192,51,510007.13,42500.59,3.1,875975.29,12,9.99,77008.07,2,0.27,0,28,1
193,50,275843.64,22986.97,7.3,667061.06,60,19.21,17381.1,0,0.353,1,28,0
194,38,1024348.43,85362.37,12.3,1964315.71,60,15.55,47299.95,4,0.188,1,16,0
195,68,164919.79,13743.32,7.5,310022.14,48,19.83,9406.03,2,0.111,1,48,1
196,25,656667.5,54722.29,11.7,852495.7,60,13.5,19615.79,2,0.085,0,3,0
197,37,594616.95,49551.41,9.1,965868.02,48,22.1,30483.17,2,0.658,1,13,0
198,26,241387.3,20115.61,14.8,101504.85,12,15.1,9166.45,0,0.16,1,5,0
199,37,243402.0,20283.5,10.7,420501.16,12,17.39,38429.57,1,0.365,0,17,1
200,68,187091.13,15590.93,15.7,313918.83,36,15.65,10982.29,6,0.162,1,48,1
201,38,188167.78,15680.65,3.7,249336.39,12,8.64,21763.23,2,0.633,0,14,0
202,65,296468.73,24705.73,7.0,506862.32,24,9.97,23382.11,0,0.244,1,44,1
203,45,299643.28,24970.27,8.0,615882.12,84,14.37,11667.89,0,0.309,1,23,1
204,55,133095.52,11091.29,3.7,153994.42,48,8.28,3779.73,1,0.491,1,32,0
205,43,933552.67,77796.06,3.0,888382.07,12,23.73,83889.01,0,0.142,0,20,0
206,34,260469.64,21705.8,9.9,228029.26,12,19.38,21055.77,1,0.318,1,11,0
207,58,306448.85,25537.4,11.3,678282.3,60,19.4,17744.64,2,0.222,0,34,1
208,68,216832.68,18069.39,8.6,525566.51,84,9.01,8458.55,2,0.299,1,45,1
209,33,259495.65,21624.64,13.3,532434.54,48,19.87,16165.32,1,0.356,1,11,1
210,59,247969.48,20664.12,2.5,444636.66,48,13.65,12072.43,1,0.124,1,38,0
211,33,296124.36,24677.03,6.0,632025.47,36,18.4,22976.26,0,0.407,1,13,0
212,56,294403.06,24533.59,2.1,577183.76,84,16.54,11642.28,0,0.371,2,33,0
213,59,443491.17,36957.6,8.7,394857.46,84,14.3,7465.23,2,0.159,0,35,0
214,43,332239.03,27686.59,10.4,268145.23,12,23.7,25316.79,0,0.252,0,22,0
215,57,421738.83,35144.9,14.7,929621.02,84,20.87,21133.08,3,0.166,0,36,0
216,34,295107.39,24592.28,2.1,641361.82,12,14.74,57809.58,1,0.151,0,13,1
217,24,332909.61,27742.47,9.9,285288.09,12,22.21,26730.2,2,0.31,0,4,0
218,25,262852.2,21904.35,15.2,217399.52,24,14.02,10440.03,4,0.258,3,4,0
219,42,489703.74,40808.64,3.0,1184470.44,12,10.36,104332.19,1,0.551,2,18,1
220,65,348471.32,29039.28,1.8,530960.36,84,10.81,9038.38,0,0.494,1,41,1
221,27,274021.7,22835.14,0.6,531307.18,48,15.96,15046.51,2,0.408,2,5,1
222,43,269964.28,22497.02,11.1,79339.71,48,11.7,2077.65,3,0.615,0,23,0
223,55,280795.05,23399.59,4.4,384925.81,48,12.73,10275.09,1,0.331,0,32,0
224,30,301107.3,25092.28,10.4,339277.27,12,15.51,30704.3,2,0.199,0,8,0
225,56,288318.04,24026.5,6.9,233365.16,48,9.1,5818.39,2,0.319,1,35,0
226,35,224263.99,18688.67,17.0,209527.25,84,16.78,4255.26,1,0.304,1,14,0
227,60,434716.89,36226.41,11.9,939757.85,24,14.36,45280.47,0,0.57,0,37,0
228,49,448667.79,37388.98,4.0,109752.27,48,13.64,2979.36,4,0.375,0,27,0
229,47,723552.52,60296.04,6.5,1306001.29,36,10.77,42614.7,1,0.126,0,26,0
230,29,219297.63,18274.8,11.9,301111.19,24,23.04,15776.17,2,0.167,0,5,0
231,43,413833.65,34486.14,2.7,440521.62,24,9.03,20131.18,1,0.327,1,22,0
232,62,114168.57,9514.05,13.9,257696.94,36,20.44,9634.81,1,0.246,1,38,1
233,21,448884.79,37407.07,6.7,873919.07,84,20.22,19522.35,0,0.389,1,1,0
234,58,143158.68,11929.89,12.0,227814.71,60,20.18,6058.54,0,0.468,1,35,0
235,45,181286.59,15107.22,7.0,210404.05,12,13.8,18871.78,2,0.273,1,24,0
236,56,350148.51,29179.04,5.4,806402.14,48,20.73,24853.84,2,0.147,0,32,0
237,53,217347.01,18112.25,4.6,512679.02,84,17.42,10601.82,2,0.276,0,32,0
238,42,202971.99,16914.33,16.7,383057.34,24,10.97,17848.14,0,0.328,1,19,0
239,36,232720.16,19393.35,6.5,273739.6,36,17.17,9782.74,0,0.582,1,15,0
240,51,427116.89,35593.07,23.4,1051291.57,12,14.66,94719.22,2,0.077,1,28,1
241,27,186009.83,15500.82,8.8,56326.29,36,18.16,2040.85,1,0.638,1,7,0
242,49,288636.26,24053.02,3.7,621648.63,24,18.46,31173.59,1,0.125,1,29,0
243,25,245406.64,20450.55,0.1,216572.19,36,17.5,7775.39,0,0.162,1,2,0
244,52,446835.32,37236.28,14.2,590365.4,48,18.64,17540.04,1,0.16,0,32,0
245,51,453142.03,37761.84,7.0,180071.46,24,11.24,8412.82,1,0.281,2,28,0
246,25,118463.37,9871.95,12.1,150791.77,24,18.21,7543.45,0,0.296,2,5,0
247,58,500095.68,41674.64,19.6,363966.36,36,19.52,13437.44,2,0.529,1,38,0
248,41,218517.65,18209.8,11.3,202405.98,24,21.85,10485.46,2,0.553,0,21,0
249,59,333749.54,27812.46,9.7,501337.13,60,22.45,13974.96,1,0.271,0,37,0
250,23,185450.94,15454.24,14.1,451744.97,60,23.76,12932.93,0,0.238,1,1,1
251,29,357027.22,29752.27,12.0,256403.04,24,16.3,12591.07,3,0.287,1,6,0
252,45,1062010.62,88500.88,1.7,1049846.15,84,19.92,23262.55,1,0.36,1,24,0
253,30,316026.95,26335.58,14.7,237497.41,48,22.54,7552.41,2,0.454,1,8,0
254,37,235643.69,19636.97,7.8,320845.81,12,23.49,30259.92,2,0.369,2,13,1
255,53,264056.77,22004.73,15.7,215319.24,24,16.59,10603.5,1,0.062,1,33,1
256,28,142270.44,11855.87,10.5,91353.1,60,14.52,2150.33,3,0.181,0,7,0
257,54,611996.38,50999.7,14.0,1040274.03,60,12.3,23298.34,2,0.21,1,30,0
258,26,346778.51,28898.21,6.9,209516.59,48,18.83,6245.79,1,0.302,0,6,0
259,29,175527.51,14627.29,0.4,262479.89,36,13.14,8861.69,0,0.045,1,5,0
260,49,178410.23,14867.52,10.8,57883.03,36,18.93,2119.71,1,0.341,1,29,0
261,59,298833.31,24902.78,12.9,553363.27,12,20.17,51305.57,1,0.29,1,39,1
262,29,472596.72,39383.06,5.2,95043.81,24,20.62,4866.17,1,0.129,0,8,0
263,35,166792.37,13899.36,7.0,293858.38,60,18.59,7556.71,1,0.427,3,12,0
264,66,517468.88,43122.41,0.0,275961.28,84,12.71,4976.87,3,0.463,3,45,0
265,69,283277.77,23606.48,7.2,514570.64,36,8.32,16200.84,1,0.406,2,48,1
266,49,186256.18,15521.35,1.7,72024.58,24,8.6,3277.22,2,0.454,1,25,1
267,42,234721.45,19560.12,10.6,219193.32,60,12.59,4941.44,0,0.123,0,21,0
268,37,710892.81,59241.07,9.7,1303800.32,84,9.93,21597.5,1,0.369,0,17,0
269,51,148137.08,12344.76,8.1,240600.43,24,11.31,11248.53,1,0.329,0,30,0
270,49,205675.2,17139.6,14.6,178197.83,60,10.05,3790.56,2,0.212,0,25,0
271,35,477486.8,39790.57,9.2,597893.87,48,8.82,14827.56,2,0.387,0,12,0
272,22,330455.91,27537.99,9.0,319387.66,84,23.56,7792.52,0,0.433,0,2,0
273,28,199661.68,16638.47,9.6,45491.71,48,13.2,1224.95,0,0.264,3,4,0
274,67,480410.69,40034.22,5.1,716569.68,36,16.01,25196.0,0,0.159,1,46,0
275,41,491957.63,40996.47,13.0,1218342.42,12,13.22,108944.82,2,0.162,2,17,1
276,44,350002.42,29166.87,3.4,483292.62,36,14.35,16600.07,3,0.413,0,21,0
277,43,218338.46,18194.87,10.1,230609.72,60,8.31,4710.22,2,0.308,1,20,0
278,59,235825.57,19652.13,14.1,315592.83,84,22.33,7457.5,2,0.217,1,36,0
279,24,341922.04,28493.5,2.9,630876.59,36,13.9,21531.24,2,0.293,0,0,1
280,25,153896.48,12824.71,1.3,65773.33,84,18.86,1415.76,0,0.309,0,2,0
281,34,576016.99,48001.42,2.8,707463.96,60,14.77,16745.23,2,0.115,0,13,0
282,44,693914.85,57826.24,17.1,415583.49,24,15.21,20191.74,0,0.239,1,21,0
283,53,263556.38,21963.03,5.0,445152.04,60,15.46,10697.93,1,0.236,0,32,0
284,45,354354.2,29529.52,2.0,846758.65,36,9.75,27223.24,0,0.217,1,22,1
285,42,536542.48,44711.87,9.8,394733.22,48,18.14,11624.19,1,0.21,0,21,0
286,66,788415.43,65701.29,0.0,866215.93,12,15.68,78461.4,1,0.244,1,42,1
287,28,645958.58,53829.88,3.2,531847.97,84,14.14,10008.01,0,0.169,3,7,0
288,49,124521.2,10376.77,15.1,135693.91,60,20.93,3665.64,2,0.356,0,26,0
289,47,253272.98,21106.08,3.2,318149.37,60,11.59,7011.32,1,0.223,0,25,0
290,44,380919.8,31743.32,6.7,758432.46,60,11.63,16729.45,3,0.624,0,23,1
291,60,231628.8,19302.4,9.5,345669.64,12,22.68,32465.97,0,0.501,2,39,1
292,34,723158.26,60263.19,9.5,978135.66,60,9.44,20514.0,1,0.171,1,13,0
293,67,669768.62,55814.05,5.3,180675.65,24,23.24,9484.12,0,0.272,0,47,0
294,37,197212.07,16434.34,10.7,58601.38,12,19.03,5401.34,0,0.23,0,15,0
295,47,273429.74,22785.81,15.2,596066.61,12,19.86,55176.41,1,0.338,1,24,1
296,46,203866.97,16988.91,2.7,429435.4,12,8.85,37524.9,0,0.163,0,23,1
297,62,268991.69,22415.97,5.6,139858.05,84,23.75,3429.04,1,0.483,0,42,0
298,42,264946.67,22078.89,7.5,589075.94,60,15.17,14066.7,1,0.102,0,22,0
299,34,477886.7,39823.89,11.5,1171780.42,36,9.01,37267.76,0,0.194,0,14,1
300,22,190187.87,15848.99,8.2,351008.34,24,17.19,17386.71,1,0.147,2,0,1
